MAP2K4	FLNC
MYPN	ACTN2
ACVR1	FNTA
GATA2	PML
RPA2	STAT3
ARF1	GGA3
ARF3	ARFIP2
ARF3	ARFIP1
XRN1	ALDOA
APP	APPBP2
APLP1	DAB1
CITED2	TFAP2A
EP300	TFAP2A
APOB	MTTP
ARRB2	RALGDS
CSF1R	GRB2
PRRC2A	GRB2
LSM1	NARS
SLC4A1	SLC4A1AP
BCL3	BARD1
ADRB1	GIPC1
BRCA1	ATF1
BRCA1	MSH2
BRCA1	BARD1
BRCA1	MSH6
ARVCF	CDH15
PCBD1	CACNA1C
PSEN2	CAPN1
CAPN3	TTN
ITPR1	CA8
MAGI1	CTNNB1
RB1	CUX1
TSG101	CDKN1A
ORC1	MCM2
ORC4	MCM2
MCM5	MCM2
CDC7	MCM2
ORC2	MCM2
RPA2	MCM2
DBF4	MCM2
AKAP8	MCM2
RPA1	MCM2
RPA3	MCM2
ORC5	MCM2
MCM3	MCM2
YWHAZ	CDC25A
DOCK8	CDC42
TRIP10	CDC42
CDKN3	CDK2
RBBP8	RBL1
HAND2	CENPB
CLTC	HGS
IGFBP3	COL1A1
TXN	COL1A1
ATF2	SMAD3
ATF2	SMAD4
CCND3	EIF3K
RALBP1	CCNB1
PPIB	CAMLG
CSK	INSR
CSK	IGF1R
DCN	EGFR
SIM2	ARNT
SIM1	ARNT
NPAS4	ARNT
HBEGF	ZBTB16
PCNA	GADD45A
TOPBP1	TOP2B
FLNA	DRD3
LSM3	SNRPE
LSM4	SNRPE
LSM5	SNRPE
EP300	EGR1
CREBBP	EGR1
NUMA1	EPB41
EXOSC4	EEF1A1
PLCG1	EEF1A1
KTN1	EEF1D
KDR	ANXA5
PPARGC1B	ESR1
SMARCA4	ESR1
DDX54	ESR1
ESR1	DNTTIP2
FGFR1	FDPS
TGFB1	FNTA
SUMO1	FAS
MPP6	FTL
PRRC2A	FGA
FLNA	ITGB1
FGFR1	FRS3
GABRG2	GABARAP
SFN	NR3C1
TGFB1I1	NR3C1
NR3C1	ECD
GCK	PFKFB2
HSPA5	DPH1
SLC2A2	KPNA2
SLC2A4	DAXX
GRIK2	SDCBP
GRIK2	PICK1
GRIK1	PICK1
GRIK1	SDCBP
CCNT1	GRN
RGS19	GNAZ
RGS19	GNAO1
RGS19	GNAI2
RGS19	GNAI3
HSF2	UBE2I
LIMK1	NRG1
FGF7	HSPG2
PRRC2A	MAD2L2
PRRC2A	P4HA2
PRRC2A	CCR10
C1QBP	PRRC2A
EIF3E	PRRC2A
PRRC2A	GANAB
HNRNPA1	PRRC2A
PRRC2A	PSMA3
HNRNPM	PRRC2A
PRRC2A	MAN2C1
PRRC2A	SSR3
PRRC2A	DDX20
UBAP2L	PRRC2A
IMMT	PRRC2A
PRRC2A	CPSF1
PRRC2A	PRMT2
PRRC2A	QARS
IFT88	PRRC2A
XRN1	BAG6
HTT	SETD2
HAP1	HTT
HTT	ZDHHC17
HYPK	HTT
TRIP10	HTT
MEF2D	YWHAQ
TCF3	HAND2
TCF3	ID3
IGF1R	IRS1
YWHAE	IGF1R
SOCS1	IGF1R
PTK2	IRS1
MAPK8	IRS1
INSR	IRS1
IL1A	NDN
JAK2	PRMT5
JAK2	SOCS1
BYSL	KRT8
KRT18	CBL
KRT18	DNAJB6
LMNA	LMNB1
LMNA	SREBF1
LMNA	NARF
MLLT4	BCR
BNIPL	BCL2
BNIP2	BCL2
SMN1	BCL2
TP53BP2	BCL2
RTN4	BCL2
BCL2	BECN1
NFKB1	LYL1
SKAP1	PTPRC
ALOX5	COTL1
VAV1	XRCC6
NCF4	XRCC6
XRCC5	XRCC6
MRE11A	XRCC6
CBX5	XRCC6
PIAS4	LEF1
MITF	LEF1
DHDDS	LOX
YBX1	SRSF9
ATRNL1	MC4R
ATF7IP	MBD1
CHAF1A	MBD1
MITF	PIAS3
MITF	PATZ1
MITF	UBE2I
ANP32A	MAP1B
MCM7	ORC1
MCM7	RB1
MCM7	DBF4
MCM7	CDC7
MCM7	ORC3
MCM7	RPA1
MCM7	FHL2
MCM7	ORC2
MCM7	ORC5
NOV	POLR2L
KMT2A	PPIE
KMT2A	PPP1R15A
MLLT4	RAP1GAP
MLLT4	PVRL1
MLLT4	PFN1
NEB	MYPN
NGFR	PRKACB
LSM7	NPY1R
SNCAIP	SNCA
EPB41L1	NUMA1
MAP3K8	NFKB1
RELA	FOS
